id|date_scraped|week_num|year|postal_code|category|subcategory|total_items
1|2026-09-17 11:33:12|38|2026|43812|Aceite, especias y salsas|Aceite, vinagre y sal|37
2|2026-09-17 11:33:17|38|2026|43812|Aceite, especias y salsas|Especias|49
3|2026-09-17 11:33:23|38|2026|43812|Aceite, especias y salsas|Mayonesa, ketchup y mostaza|19
4|2026-09-17 11:33:28|38|2026|43812|Aceite, especias y salsas|Otras salsas|39
5|2026-09-17 11:33:34|38|2026|43812|Agua y refrescos|Agua|50
6|2026-09-17 11:33:40|38|2026|43812|Agua y refrescos|Isotónico y energético|38
7|2026-09-17 11:33:45|38|2026|43812|Agua y refrescos|Refresco de cola|40
8|2026-09-17 11:33:51|38|2026|43812|Agua y refrescos|Refresco de naranja y de limón|33
9|2026-09-17 11:33:56|38|2026|43812|Agua y refrescos|Tónica y bitter|11
10|2026-09-17 11:34:02|38|2026|43812|Agua y refrescos|Refresco de té y sin gas|32
11|2026-09-17 11:34:08|38|2026|43812|Aperitivos|Aceitunas y encurtidos|42
12|2026-09-17 11:34:13|38|2026|43812|Aperitivos|Frutos secos y fruta desecada|61
13|2026-09-17 11:34:19|38|2026|43812|Aperitivos|Patatas fritas y snacks|42
14|2026-09-17 11:34:25|38|2026|43812|Arroz, legumbres y pasta|Arroz|14
15|2026-09-17 11:34:31|38|2026|43812|Arroz, legumbres y pasta|Legumbres|19
16|2026-09-17 11:34:36|38|2026|43812|Arroz, legumbres y pasta|Pasta y fideos|60
17|2026-09-17 11:34:42|38|2026|43812|Azúcar, caramelos y chocolate|Azúcar y edulcorante|15
18|2026-09-17 11:34:48|38|2026|43812|Azúcar, caramelos y chocolate|Chicles y caramelos|22
19|2026-09-17 11:34:53|38|2026|43812|Azúcar, caramelos y chocolate|Chocolate|64
20|2026-09-17 11:34:59|38|2026|43812|Azúcar, caramelos y chocolate|Golosinas|19
21|2026-09-17 11:35:04|38|2026|43812|Azúcar, caramelos y chocolate|Mermelada y miel|17
22|2026-09-17 11:35:10|38|2026|43812|Bebé|Alimentación infantil|38
23|2026-09-17 11:35:16|38|2026|43812|Bodega|Cerveza|64
24|2026-09-17 11:35:21|38|2026|43812|Bodega|Cerveza sin alcohol|16
25|2026-09-17 11:35:27|38|2026|43812|Bodega|Licores|49
26|2026-09-17 11:35:32|38|2026|43812|Bodega|Sidra y cava|15
27|2026-09-17 11:35:38|38|2026|43812|Bodega|Tinto de verano y sangría|9
28|2026-09-17 11:35:44|38|2026|43812|Bodega|Vino blanco|28
29|2026-09-17 11:35:49|38|2026|43812|Bodega|Vino lambrusco y espumoso|8
30|2026-09-17 11:35:55|38|2026|43812|Bodega|Vino rosado|5
31|2026-09-17 11:36:00|38|2026|43812|Bodega|Vino tinto|31
32|2026-09-17 11:36:06|38|2026|43812|Cacao, café e infusiones|Cacao soluble y chocolate a la taza|13
33|2026-09-17 11:36:12|38|2026|43812|Cacao, café e infusiones|Café cápsula y monodosis|28
34|2026-09-17 11:36:17|38|2026|43812|Cacao, café e infusiones|Café molido y en grano|18
35|2026-09-17 11:36:23|38|2026|43812|Cacao, café e infusiones|Café soluble y otras bebidas|19
36|2026-09-17 11:36:28|38|2026|43812|Cacao, café e infusiones|Té e infusiones|28
37|2026-09-17 11:36:34|38|2026|43812|Carne|Arreglos|14
38|2026-09-17 11:36:40|38|2026|43812|Carne|Aves y pollo|55
39|2026-09-17 11:36:45|38|2026|43812|Carne|Carne congelada|13
40|2026-09-17 11:36:51|38|2026|43812|Carne|Cerdo|41
41|2026-09-17 11:36:56|38|2026|43812|Carne|Conejo y cordero|8
