id|date_scraped|week_num|year|postal_code|ciqual_text_to_search|found_nutriments|origin|id_product|position|category|subcategory|second_subcategory|title_category_main_page|title_in_page_product|product_name|alcohol_grades|quantity|quantity_units|price|price_units|pvp|ingredients|bar_code|is_new_arrival|previous_pvp|nutriscore|planetscore|ciqual_text|ciqual_id|ewo_ultra_processed_punctuation
1|2026-09-16 11:05:47|38|2026|43812|Pineapple Fruits & vegetables Fruits Tropical fruit|0||3076|1|Fruta y verdura|Fruta|Fruta tropical|Productos del momento|Rápido y saludable|Piña||1.89|kg|2.00|€/kg|3.78|piña|8480000030764|0||||||
2|2026-09-16 11:05:47|38|2026|43812|Seedless white grapes Fruits & vegetables Fruits Banana & grape|0|Marruecos|3313|2|Fruta y verdura|Fruta|Plátano y uva|Productos del momento|Rápido y saludable|Uva blanca sin semillas||0.6|kg|2.75|€/kg|1.65|uva sin semilla|2105400033134|0||||||
3|2026-09-16 11:05:47|38|2026|43812|Free range eggs Eggs, milk & butter Eggs Eggs|0||15768|3|Huevos leche y mantequilla|Huevos|Huevos|Productos del momento|Rápido y saludable|Huevos de gallinas camperas||12.0|ud|0.28|€/ud|3.35|huevo|8410603125215|0||||||
4|2026-09-16 11:05:47|38|2026|43812|Family Whole fresh chicken breast Meat Poultry Chicken|0|Planta de sacrificio Hijos de Juan Pujante, S.A. ubicada en España|3682|4|Carne|Aves y pollo|Pollo|Productos del momento|Rápido y saludable|Pechugas enteras familiar de pollo||1.2|kg|6.20|€/kg|7.44||2105100036824|0||||||
5|2026-09-16 11:05:47|38|2026|43812|Seed mix Hacendado Snacks Nuts, seeds & dried fruit Nuts & seeds|0|Italia|34963|5|Aperitivos|Frutos secos y fruta desecada|Frutos secos|Productos del momento|Rápido y saludable|Mezcla semillas Hacendado||0.2|kg|7.30|€/kg|1.46|semillas de girasol peladas, semillas de sésamo natural, semillas de lino marrón, semillas de calabaza peladas y semillas de chía.|8402001002021|0||||||
6|2026-09-16 11:05:47|38|2026|43812|Natural Kefir mild flavour Dessert & yoghurt Natural & flavoured yoghurt Natural yoghurt|0||20029|6|Postres y yogures|Yogures naturales y sabores|Yogures naturales|Productos del momento|Rápido y saludable|Kéfir natural sabor suave||0.5|kg|2.20|€/kg|1.10|leche pasteurizada de vaca. nata (leche de vaca pasteurizada). leche en polvo desnatada pasteurizada de vaca y fermentos lácticos kéfir (cepas de lactococcus,leuconostoc,lactobacillus y streptococcus).|8436547770137|0||||||
7|2026-09-16 11:05:47|38|2026|43812|Cherry tomatoes Fruits & vegetables Vegetables Tomato|0|España|69990|7|Fruta y verdura|Verdura|Tomate|Productos del momento|Rápido y saludable|Tomates cherry||0.5|kg|4.40|€/kg|2.20|tomates cherry|8412276727222|0||||||
8|2026-09-16 11:05:48|38|2026|43812|Shelled natural walnut Hacendado Snacks Nuts, seeds & dried fruit Nuts & seeds|0|Chile|34024|8|Aperitivos|Frutos secos y fruta desecada|Frutos secos|Productos del momento|Rápido y saludable|Nuez natural Hacendado pelada||0.2|kg|12.50|€/kg|2.50|nueces. trazas de cacahuete y otros frutos de cáscara.|8402001001345|0||||||
9|2026-09-16 11:05:48|38|2026|43812|Blueberries Fruits & vegetables Fruits Other fruit|0|España|5507|9|Fruta y verdura|Fruta|Otras frutas|Productos del momento|Rápido y saludable|Arándanos||0.5|kg|13.00|€/kg|6.50|arándano|5608495000052|0||||||
10|2026-09-16 11:05:48|38|2026|43812|Green Kiwis Fruits & vegetables Fruits Tropical fruit|0|España|3832|10|Fruta y verdura|Fruta|Fruta tropical|Productos del momento|Rápido y saludable|Kiwis verdes||1.07|kg|4.55|€/kg|4.87|kiwi|2105400038320|0||||||
